date,current_balance 
1533931200,0.8484218470941002 
1533938400,0.8484218470941002 
1533945600,0.8484218470941002 
1533952800,0.8484218470941002 
1533960000,0.8484218470941002 
1533967200,0.8484218470941002 
1533974400,0.8484218470941002 
1533981600,0.8484218470941002 
1533988800,0.8484218470941002 
1533996000,0.8484218470941002 
1534003200,0.8484218470941002 
1534010400,0.8484218470941002 
1534017600,0.8484218470941002 
1534024800,0.8484218470941002 
1534032000,0.8484218470941002 
1534039200,0.8484218470941002 
1534046400,0.8484218470941002 
1534053600,0.8484218470941002 
1534060800,0.8484218470941002 
1534068000,0.8484218470941002 
1534075200,0.8484218470941002 
1534082400,0.8484218470941002 
1534089600,0.8484218470941002 
1534096800,0.8484218470941002 
1534104000,0.8484218470941002 
1534111200,0.8484218470941002 
1534118400,0.8484218470941002 
1534125600,0.8484218470941002 
1534132800,0.8484218470941002 
1534140000,0.8484218470941002 
1534147200,0.8484218470941002 
1534154400,0.8484218470941002 
1534161600,0.8484218470941002 
1534168800,0.8484218470941002 
1534176000,0.8484218470941002 
1534183200,0.8484218470941002 
1534190400,0.8484218470941002 
1534197600,0.8484218470941002 
1534204800,0.8484218470941002 
1534212000,0.8484218470941002 
1534219200,0.8484218470941002 
1534226400,0.8484218470941002 
1534233600,0.8484218470941002 
1534240800,0.8484218470941002 
1534248000,0.8484218470941002 
1534255200,0.8484218470941002 
1534262400,0.8484218470941002 
1534269600,0.8484218470941002 
1534276800,0.8484218470941002 
1534284000,0.8484218470941002 
1534291200,0.8484218470941002 
1534298400,0.8484218470941002 
1534305600,0.8484218470941002 
1534312800,0.8484218470941002 
1534320000,0.8484218470941002 
1534327200,0.8484218470941002 
1534334400,0.8484218470941002 
1534341600,0.8484218470941002 
1534348800,0.8484218470941002 
1534356000,0.8484218470941002 
1534363200,0.8484218470941002 
1534370400,0.8484218470941002 
1534377600,0.8484218470941002 
1534384800,0.8484218470941002 
1534392000,0.8484218470941002 
1534399200,0.8484218470941002 
1534406400,0.8484218470941002 
1534413600,0.8484218470941002 
1534420800,0.8484218470941002 
1534428000,0.8484218470941002 
1534435200,0.8484218470941002 
1534442400,0.8484218470941002 
1534449600,0.8484218470941002 
1534456800,0.8484218470941002 
1534464000,0.8484218470941002 
1534471200,0.8484218470941002 
1534478400,0.8484218470941002 
1534485600,0.8484218470941002 
1534492800,0.8484218470941002 
1534500000,0.8484218470941002 
1534507200,0.8484218470941002 
1534514400,0.8484218470941002 
1534521600,0.8484218470941002 
1534528800,0.8484218470941002 
1534536000,0.8484218470941002 
1534543200,0.8484218470941002 
1534550400,0.8484218470941002 
1534557600,0.8484218470941002 
1534564800,0.8484218470941002 
1534572000,0.8484218470941002 
1534579200,0.8484218470941002 
1534586400,0.8484218470941002 
1534593600,0.8484218470941002 
1534600800,0.8484218470941002 
1534608000,0.8484218470941002 
1534615200,0.8484218470941002 
1534622400,0.8484218470941002 
1534629600,0.8484218470941002 
1534636800,0.8484218470941002 
1534644000,0.8484218470941002 
1534651200,0.8484218470941002 
1534658400,0.8484218470941002 
1534665600,0.8484218470941002 
1534672800,0.8484218470941002 
1534680000,0.8484218470941002 
1534687200,0.8484218470941002 
1534694400,0.8484218470941002 
1534701600,0.8484218470941002 
1534708800,0.8484218470941002 
1534716000,0.8484218470941002 
1534723200,0.8484218470941002 
1534730400,0.8484218470941002 
1534737600,0.8484218470941002 
1534744800,0.8484218470941002 
1534752000,0.8484218470941002 
1534759200,0.8484218470941002 
1534766400,0.8484218470941002 
1534773600,0.8484218470941002 
1534780800,0.8484218470941002 
1534788000,0.8484218470941002 
1534795200,0.8484218470941002 
1534802400,0.8484218470941002 
1534809600,0.8484218470941002 
1534816800,0.8484218470941002 
1534824000,0.8484218470941002 
1534831200,0.8484218470941002 
1534838400,0.8484218470941002 
1534845600,0.8484218470941002 
1534852800,0.8484218470941002 
1534860000,0.8484218470941002 
1534867200,0.8484218470941002 
1534874400,0.8484218470941002 
1534881600,0.8484218470941002 
1534888800,0.8484218470941002 
1534896000,0.8484218470941002 
1534903200,0.8484218470941002 
1534910400,0.8484218470941002 
1534917600,0.8484218470941002 
1534924800,0.8484218470941002 
1534932000,0.8484218470941002 
1534939200,0.8484218470941002 
1534946400,0.8484218470941002 
1534953600,0.8484218470941002 
1534960800,0.8484218470941002 
1534968000,0.8484218470941002 
1534975200,0.8484218470941002 
1534982400,0.8484218470941002 
1534989600,0.8484218470941002 
1534996800,0.8484218470941002 
1535004000,0.8484218470941002 
1535011200,0.8484218470941002 
1535018400,0.8484218470941002 
1535025600,0.8484218470941002 
1535032800,0.8484218470941002 
1535040000,0.8484218470941002 
1535047200,0.8484218470941002 
1535054400,0.8484218470941002 
1535061600,0.8484218470941002 
1535068800,0.8484218470941002 
1535076000,0.8484218470941002 
1535083200,0.8484218470941002 
1535090400,0.8484218470941002 
1535097600,0.8484218470941002 
1535104800,0.8484218470941002 
1535112000,0.8484218470941002 
1535119200,0.8484218470941002 
1535126400,0.8484218470941002 
1535133600,0.8484218470941002 
1535140800,0.8484218470941002 
1535148000,0.8484218470941002 
1535155200,0.8484218470941002 
1535162400,0.8484218470941002 
1535169600,0.8484218470941002 
1535176800,0.8484218470941002 
1535184000,0.8484218470941002 
1535191200,0.8484218470941002 
1535198400,0.8484218470941002 
1535205600,0.8484218470941002 
1535212800,0.8484218470941002 
1535220000,0.8484218470941002 
1535227200,0.8484218470941002 
1535234400,0.8484218470941002 
1535241600,0.8484218470941002 
1535248800,0.8484218470941002 
1535256000,0.8484218470941002 
1535263200,0.8484218470941002 
1535270400,0.8484218470941002 
1535277600,0.8484218470941002 
1535284800,0.8484218470941002 
1535292000,0.8484218470941002 
1535299200,0.8484218470941002 
1535306400,0.8484218470941002 
1535313600,0.8484218470941002 
1535320800,0.8484218470941002 
1535328000,0.8484218470941002 
1535335200,0.8484218470941002 
1535342400,0.8484218470941002 
1535349600,0.8484218470941002 
1535356800,0.8484218470941002 
1535364000,0.8484218470941002 
1535371200,0.8484218470941002 
1535378400,0.8484218470941002 
1535385600,0.8484218470941002 
1535392800,0.8484218470941002 
1535400000,0.8484218470941002 
1535407200,0.8484218470941002 
1535414400,0.8484218470941002 
1535421600,0.8484218470941002 
1535428800,0.8484218470941002 
1535436000,0.8484218470941002 
1535443200,0.8484218470941002 
1535450400,0.8484218470941002 
1535457600,0.8484218470941002 
1535464800,0.8484218470941002 
1535472000,0.8484218470941002 
1535479200,0.8484218470941002 
1535486400,0.8484218470941002 
1535493600,0.8484218470941002 
1535500800,0.8484218470941002 
1535508000,0.8484218470941002 
1535515200,0.8484218470941002 
1535522400,0.8484218470941002 
1535529600,0.8484218470941002 
1535536800,0.8484218470941002 
1535544000,0.8484218470941002 
1535551200,0.8484218470941002 
1535558400,0.8484218470941002 
1535565600,0.8484218470941002 
1535572800,0.8484218470941002 
1535580000,0.8484218470941002 
1535587200,0.8484218470941002 
1535594400,0.8484218470941002 
1535601600,0.8484218470941002 
1535608800,0.8484218470941002 
1535616000,0.8484218470941002 
1535623200,0.8484218470941002 
1535630400,0.8484218470941002 
1535637600,0.8484218470941002 
1535644800,0.8484218470941002 
1535652000,0.8484218470941002 
1535659200,0.8484218470941002 
1535666400,0.8484218470941002 
1535673600,0.8484218470941002 
1535680800,0.8484218470941002 
1535688000,0.8484218470941002 
1535695200,0.8484218470941002 
1535702400,0.8484218470941002 
1535709600,0.8484218470941002 
1535716800,0.8484218470941002 
1535724000,0.8484218470941002 
1535731200,0.8484218470941002 
1535738400,0.8484218470941002 
1535745600,0.8484218470941002 
1535752800,0.8484218470941002 
1535760000,0.8484218470941002 
1535767200,0.8484218470941002 
1535774400,0.8484218470941002 
1535781600,0.8484218470941002 
1535788800,0.8484218470941002 
1535796000,0.8484218470941002 
1535803200,0.8484218470941002 
1535810400,0.8484218470941002 
1535817600,0.8484218470941002 
1535824800,0.8484218470941002 
1535832000,0.8484218470941002 
1535839200,0.8484218470941002 
1535846400,0.8484218470941002 
1535853600,0.8484218470941002 
1535860800,0.8484218470941002 
1535868000,0.8484218470941002 
1535875200,0.8484218470941002 
1535882400,0.8484218470941002 
1535889600,0.8484218470941002 
1535896800,0.8484218470941002 
1535904000,0.8484218470941002 
1535911200,0.8484218470941002 
1535918400,0.8484218470941002 
1535925600,0.8484218470941002 
1535932800,0.8484218470941002 
1535940000,0.8484218470941002 
1535947200,0.8484218470941002 
1535954400,0.8484218470941002 
1535961600,0.8484218470941002 
1535968800,0.8484218470941002 
1535976000,0.8484218470941002 
1535983200,0.8484218470941002 
1535990400,0.8484218470941002 
1535997600,0.8484218470941002 
1536004800,0.8484218470941002 
1536012000,0.8484218470941002 
1536019200,0.8484218470941002 
1536026400,0.8484218470941002 
1536033600,0.8484218470941002 
1536040800,0.8484218470941002 
1536048000,0.8484218470941002 
1536055200,0.8484218470941002 
1536062400,0.8484218470941002 
1536069600,0.8484218470941002 
1536076800,0.8484218470941002 
1536084000,0.8484218470941002 
1536091200,0.8484218470941002 
1536098400,0.8484218470941002 
1536105600,0.8484218470941002 
1536112800,0.8484218470941002 
1536120000,0.8484218470941002 
1536127200,0.8484218470941002 
1536134400,0.8484218470941002 
1536141600,0.8484218470941002 
1536148800,0.8484218470941002 
1536156000,0.8484218470941002 
1536163200,0.8484218470941002 
1536170400,0.8484218470941002 
1536177600,0.8484218470941002 
1536184800,0.8484218470941002 
1536192000,0.8484218470941002 
1536199200,0.8484218470941002 
1536206400,0.8484218470941002 
1536213600,0.8484218470941002 
1536220800,0.8484218470941002 
1536228000,0.8484218470941002 
1536235200,0.8484218470941002 
1536242400,0.8484218470941002 
1536249600,0.8484218470941002 
1536256800,0.8484218470941002 
1536264000,0.8484218470941002 
1536271200,0.8484218470941002 
1536278400,0.8484218470941002 
1536285600,0.8484218470941002 
1536292800,0.8484218470941002 
1536300000,0.8484218470941002 
1536307200,0.8484218470941002 
1536314400,0.8484218470941002 
1536321600,0.8484218470941002 
1536328800,0.8484218470941002 
1536336000,0.8484218470941002 
1536343200,0.8484218470941002 
1536350400,0.8484218470941002 
1536357600,0.8484218470941002 
1536364800,0.8484218470941002 
1536372000,0.8484218470941002 
1536379200,0.8484218470941002 
1536386400,0.8484218470941002 
1536393600,0.8484218470941002 
1536400800,0.8484218470941002 
1536408000,0.8484218470941002 
1536415200,0.8484218470941002 
1536422400,0.8484218470941002 
1536429600,0.8484218470941002 
1536436800,0.8484218470941002 
1536444000,0.8484218470941002 
1536451200,0.8484218470941002 
1536458400,0.8484218470941002 
1536465600,0.8484218470941002 
1536472800,0.8484218470941002 
1536480000,0.8484218470941002 
1536487200,0.8484218470941002 
1536494400,0.8484218470941002 
1536501600,0.8484218470941002 
1536508800,0.8484218470941002 
1536516000,0.8484218470941002 
1536523200,0.8484218470941002 
1536530400,0.8484218470941002 
1536537600,0.8484218470941002 
1536544800,0.8484218470941002 
1536552000,0.8484218470941002 
