,index,date,open,high,low,close,volume,std_close,std_high,std_low,std_open,avg_vol_3
102,102,1579748400000,0.0448,0.0448,0.0444,0.0445,32164.2,0.9933035714285714,1.0,0.9910714285714286,1.0,1
103,103,1579752000000,0.0446,0.0446,0.0444,0.0444,12000.0,0.9955156950672646,1.0,0.9955156950672646,1.0,1
104,104,1579755600000,0.0444,0.0444,0.0438,0.0443,62108.0,0.9977477477477477,1.0,0.9864864864864864,1.0,0
105,105,1579759200000,0.0443,0.0443,0.044,0.044,31773.6,0.9932279909706546,1.0,0.9932279909706546,1.0,1
106,106,1579762800000,0.0442,0.0442,0.0439,0.0439,7756.2,0.9932126696832578,1.0,0.9932126696832578,1.0,1
107,107,1579766400000,0.0443,0.0443,0.044,0.044,32518.8,0.9932279909706546,1.0,0.9932279909706546,1.0,0
108,108,1579770000000,0.0442,0.0443,0.0437,0.0438,10981.7,0.9887133182844243,1.0,0.9864559819413093,0.997742663656885,1
109,109,1579773600000,0.0438,0.0438,0.0437,0.0437,496.6,0.9977168949771691,1.0,0.9977168949771691,1.0,1
110,110,1579777200000,0.0437,0.0437,0.0437,0.0437,5000.0,1.0,1.0,1.0,1.0,1
111,111,1579780800000,0.0432,0.0436,0.0432,0.0435,227322.4,0.9977064220183486,1.0,0.9908256880733946,0.9908256880733946,0
112,112,1579784400000,0.0435,0.0435,0.0428,0.0428,168249.8,0.9839080459770115,1.0,0.9839080459770115,1.0,0
113,113,1579788000000,0.0428,0.0432,0.0427,0.0432,42309.9,1.0,1.0,0.9884259259259259,0.9907407407407406,1
114,114,1579791600000,0.0431,0.0435,0.043,0.0433,39026.7,0.9954022988505747,1.0,0.9885057471264368,0.9908045977011495,1
115,115,1579795200000,0.0433,0.0434,0.0431,0.0433,42718.2,0.9976958525345622,1.0,0.9930875576036866,0.9976958525345622,0
116,116,1579798800000,0.0433,0.0436,0.0426,0.0426,67466.4,0.9770642201834863,1.0,0.9770642201834863,0.9931192660550459,0
117,117,1579802400000,0.0426,0.0427,0.0421,0.0422,108146.9,0.9882903981264637,1.0,0.9859484777517563,0.9976580796252926,0
118,118,1579806000000,0.0421,0.0426,0.0421,0.0426,23943.7,1.0,1.0,0.988262910798122,0.988262910798122,1
119,119,1579809600000,0.0426,0.0428,0.0425,0.0428,11851.0,1.0,1.0,0.9929906542056076,0.9953271028037384,1
120,120,1579813200000,0.0432,0.0432,0.0432,0.0432,31554.1,1.0,1.0,1.0,1.0,0
121,121,1579816800000,0.0435,0.0436,0.0432,0.0432,131193.4,0.9908256880733946,1.0,0.9908256880733946,0.9977064220183486,0
122,122,1579820400000,0.0432,0.0434,0.0428,0.0434,44017.3,1.0,1.0,0.9861751152073732,0.9953917050691244,1
123,123,1579824000000,0.0433,0.0433,0.0427,0.0431,10735.8,0.9953810623556583,1.0,0.9861431870669747,1.0,1
124,124,1579827600000,0.0431,0.0431,0.0428,0.043,76265.1,0.9976798143851507,1.0,0.9930394431554525,1.0,0
125,125,1579831200000,0.0429,0.0429,0.0418,0.0418,72103.2,0.9743589743589742,1.0,0.9743589743589742,1.0,0
126,126,1579834800000,0.0421,0.0422,0.042,0.0421,19895.9,0.9976303317535544,1.0,0.9952606635071091,0.9976303317535544,1
127,127,1579838400000,0.0423,0.0423,0.042,0.0421,6354.9,0.9952718676122931,1.0,0.9929078014184398,1.0,1
128,128,1579842000000,0.042,0.0425,0.042,0.0424,6478.3,0.9976470588235293,1.0,0.9882352941176471,0.9882352941176471,1
129,129,1579845600000,0.0423,0.0423,0.0423,0.0423,11816.5,1.0,1.0,1.0,1.0,0
130,130,1579849200000,0.0423,0.0423,0.0421,0.0423,16826.4,1.0,1.0,0.9952718676122931,1.0,0
131,131,1579852800000,0.0422,0.0422,0.0421,0.0421,8435.5,0.9976303317535544,1.0,0.9976303317535544,1.0,1
132,132,1579856400000,0.0421,0.0421,0.0414,0.0414,70995.1,0.983372921615202,1.0,0.983372921615202,1.0,0
133,133,1579860000000,0.0418,0.0418,0.0414,0.0414,32633.4,0.9904306220095694,1.0,0.9904306220095694,1.0,1
134,134,1579863600000,0.0416,0.0425,0.0416,0.0424,6029.7,0.9976470588235293,1.0,0.9788235294117645,0.9788235294117645,1
135,135,1579867200000,0.0432,0.0434,0.0432,0.0434,7067.2,1.0,1.0,0.9953917050691244,0.9953917050691244,1
136,136,1579870800000,0.0434,0.0442,0.0432,0.0442,5015.1,1.0,1.0,0.9773755656108597,0.9819004524886877,1
137,137,1579874400000,0.0437,0.0444,0.0437,0.0439,176431.5,0.9887387387387387,1.0,0.9842342342342343,0.9842342342342343,0
138,138,1579878000000,0.0442,0.0443,0.0439,0.0443,33596.6,1.0,1.0,0.9909706546275395,0.997742663656885,1
139,139,1579881600000,0.0442,0.0442,0.0437,0.0437,81344.7,0.9886877828054299,1.0,0.9886877828054299,1.0,1
140,140,1579885200000,0.0437,0.044,0.0436,0.044,102351.8,1.0,1.0,0.990909090909091,0.9931818181818183,0
141,141,1579888800000,0.044,0.0447,0.0439,0.0447,60036.2,1.0,1.0,0.982102908277405,0.9843400447427293,1
142,142,1579892400000,0.045,0.0453,0.0448,0.045,196259.7,0.9933774834437086,1.0,0.988962472406181,0.9933774834437086,0
143,143,1579896000000,0.045,0.0452,0.0445,0.0447,156821.2,0.9889380530973452,1.0,0.9845132743362832,0.995575221238938,0
144,144,1579899600000,0.0447,0.045,0.0445,0.0447,32744.7,0.9933333333333333,1.0,0.9888888888888889,0.9933333333333333,1
145,145,1579903200000,0.0447,0.0447,0.0442,0.0442,75930.0,0.9888143176733782,1.0,0.9888143176733782,1.0,1
146,146,1579906800000,0.0444,0.045,0.0444,0.0448,22999.5,0.9955555555555555,1.0,0.9866666666666667,0.9866666666666667,1
147,147,1579910400000,0.0449,0.0453,0.0437,0.0437,98193.6,0.9646799116997793,1.0,0.9646799116997793,0.9911699779249449,0
148,148,1579914000000,0.0439,0.0441,0.0435,0.0435,372861.7,0.9863945578231291,1.0,0.9863945578231291,0.9954648526077098,0
149,149,1579917600000,0.0439,0.0439,0.0435,0.0437,13021.0,0.9954441913439636,1.0,0.990888382687927,1.0,1
150,150,1579921200000,0.0438,0.0442,0.0437,0.0437,86628.0,0.9886877828054299,1.0,0.9886877828054299,0.9909502262443438,1
151,151,1579924800000,0.0438,0.0439,0.0436,0.0438,54644.7,0.9977220956719817,1.0,0.9931662870159453,0.9977220956719817,0
152,152,1579928400000,0.0438,0.0438,0.0434,0.0438,31056.2,1.0,1.0,0.9908675799086758,1.0,1
153,153,1579932000000,0.0438,0.0438,0.0437,0.0437,1300.0,0.9977168949771691,1.0,0.9977168949771691,1.0,1
154,154,1579935600000,0.0437,0.0437,0.0437,0.0437,0.0,1.0,1.0,1.0,1.0,1
155,155,1579939200000,0.0435,0.0435,0.0435,0.0435,3589.7,1.0,1.0,1.0,1.0,0
156,156,1579942800000,0.044,0.044,0.0439,0.0439,7502.8,0.9977272727272728,1.0,0.9977272727272728,1.0,0
157,157,1579946400000,0.0441,0.0441,0.0439,0.0439,1825.8,0.9954648526077098,1.0,0.9954648526077098,1.0,1
158,158,1579950000000,0.0439,0.0439,0.0432,0.0432,297680.9,0.9840546697038725,1.0,0.9840546697038725,1.0,0
159,159,1579953600000,0.0433,0.0434,0.0432,0.0432,15355.7,0.9953917050691244,1.0,0.9953917050691244,0.9976958525345622,1
160,160,1579957200000,0.0432,0.0432,0.0432,0.0432,0.0,1.0,1.0,1.0,1.0,1
161,161,1579960800000,0.0432,0.0432,0.0432,0.0432,3194.5,1.0,1.0,1.0,1.0,1
