time,open,high,low,close,vwap,vol
1565755200,10.511,10.578,10.503,10.514,10.532,70.66976857,20
1565769600,10.514,10.514,10.432,10.468,10.474,52.46441749,12
1565784000,10.468,10.514,10.386,10.411,10.466,70.05135331,8
1565798400,10.426,10.522,9.506,10.030,10.062,2547.77054710,273
1565812800,10.096,10.149,9.654,9.763,9.892,896.06678735,64
1565827200,9.839,9.860,9.590,9.636,9.764,315.75095686,39
1565841600,9.636,9.636,9.066,9.236,9.371,1156.19518662,141
1565856000,9.364,9.711,9.285,9.588,9.364,650.55423636,68
1565870400,9.528,9.562,9.357,9.562,9.482,363.16230657,36
1565884800,9.637,9.700,9.536,9.620,9.593,136.18049555,22
1565899200,9.620,10.089,9.620,10.028,9.848,1993.63872554,126
1565913600,10.028,10.028,9.826,9.826,9.936,197.39516562,15
1565928000,9.826,9.826,9.386,9.433,9.509,717.94839016,28
1565942400,9.520,9.659,9.504,9.655,9.574,224.46391651,18
1565956800,9.660,9.853,9.567,9.805,9.640,475.85772347,24
1565971200,9.928,9.931,9.626,9.694,9.832,173.18279975,24
1565985600,9.674,9.724,9.627,9.662,9.655,365.59877992,47
1566000000,9.662,9.662,9.572,9.583,9.608,175.60790087,18
1566014400,9.527,9.620,9.527,9.594,9.591,102.35620901,15
1566028800,9.598,9.670,9.597,9.602,9.610,70.16963370,14
1566043200,9.515,9.526,9.467,9.467,9.501,104.54449479,9
1566057600,9.467,9.467,9.370,9.380,9.395,256.88172752,30
1566072000,9.438,9.488,9.335,9.477,9.375,436.17933271,48
1566086400,9.477,9.528,9.414,9.439,9.502,57.26792901,17
1566100800,9.440,9.452,9.424,9.448,9.446,37.07023506,13
1566115200,9.466,9.662,9.435,9.623,9.552,211.74602744,54
1566129600,9.623,9.766,9.623,9.766,9.711,143.33359021,40
1566144000,9.788,9.822,9.760,9.760,9.764,55.18074743,7
1566158400,9.720,9.737,9.650,9.650,9.689,223.30643095,37
1566172800,9.650,9.656,9.590,9.656,9.620,243.68217603,20
1566187200,9.656,9.823,9.656,9.823,9.758,137.91973626,22
1566201600,9.855,9.898,9.832,9.853,9.854,239.17755879,35
1566216000,9.823,9.826,9.761,9.800,9.791,237.99310306,42
1566230400,9.811,9.955,9.811,9.864,9.900,322.97208539,57
1566244800,9.862,10.249,9.862,10.249,10.052,199.15690513,51
1566259200,10.275,11.331,10.275,10.461,10.835,1944.26218095,251
1566273600,10.362,10.463,10.342,10.345,10.366,582.95818824,63
1566288000,10.345,10.561,10.235,10.324,10.355,469.17829421,78
1566302400,10.331,10.331,10.104,10.165,10.217,319.68379281,50
1566316800,10.173,10.173,10.070,10.105,10.128,24.86103130,15
1566331200,10.105,10.190,9.940,9.940,10.032,103.02138049,33
1566345600,9.936,10.625,9.936,9.946,10.170,1984.64592693,211
1566360000,9.905,9.905,9.590,9.650,9.711,377.62364672,102
1566374400,9.650,9.694,9.584,9.670,9.620,254.05534231,28
1566388800,9.670,9.670,9.364,9.525,9.483,487.35998962,44
1566403200,9.454,10.085,9.454,9.875,9.829,567.18319101,53
1566417600,9.880,9.895,9.801,9.813,9.846,230.46716209,30
1566432000,9.813,9.925,9.642,9.642,9.782,914.79123467,82
1566446400,9.642,9.646,9.484,9.643,9.558,305.01152114,39
1566460800,9.638,9.725,9.627,9.699,9.652,218.19625223,23
1566475200,9.699,9.947,9.699,9.944,9.857,54.03593145,16
1566489600,9.955,10.018,9.933,9.972,9.972,327.42784911,33
1566504000,9.993,10.077,9.972,9.977,10.036,1166.75951994,78
1566518400,9.964,9.964,9.835,9.855,9.893,194.04602788,34
1566532800,9.855,9.987,9.855,9.957,9.956,35.85541573,10
1566547200,9.957,9.989,9.901,9.901,9.959,140.48475192,24
1566561600,9.901,9.998,9.770,9.861,9.875,379.69414069,56
1566576000,9.861,9.861,9.806,9.806,9.817,44.19318345,5
1566590400,9.857,9.861,9.765,9.817,9.833,567.17178196,64
1566604800,9.817,9.848,9.813,9.813,9.845,46.65622221,12
1566619200,9.813,9.832,9.763,9.763,9.783,17.02325455,12
