,XLTCZUSD,last
113,"[1562817600, '103.50', '103.50', '95.13', '102.29', '100.05', '31669.53268549', 2167]",1571529600
114,"[1562832000, '102.30', '104.00', '100.12', '103.70', '101.41', '10695.09337249', 741]",1571529600
115,"[1562846400, '103.93', '104.74', '97.80', '99.66', '101.05', '13440.87009355', 983]",1571529600
116,"[1562860800, '99.66', '105.86', '98.95', '102.10', '103.21', '18515.61951232', 1142]",1571529600
117,"[1562875200, '102.08', '104.42', '99.58', '102.89', '101.27', '17580.85261745', 1207]",1571529600
118,"[1562889600, '102.89', '104.77', '100.75', '101.80', '102.88', '7214.13078969', 464]",1571529600
119,"[1562904000, '101.74', '104.83', '101.23', '104.74', '103.42', '7078.43867378', 612]",1571529600
120,"[1562918400, '104.64', '106.96', '104.63', '105.45', '105.75', '3382.28136276', 429]",1571529600
121,"[1562932800, '105.51', '106.27', '102.64', '104.57', '104.45', '14809.67668352', 708]",1571529600
122,"[1562947200, '104.33', '105.84', '103.90', '105.52', '105.19', '3266.37752751', 462]",1571529600
123,"[1562961600, '105.45', '106.00', '104.39', '105.09', '105.24', '3893.04845825', 548]",1571529600
124,"[1562976000, '105.19', '105.29', '102.80', '102.80', '103.75', '2347.00908970', 190]",1571529600
125,"[1562990400, '102.87', '103.81', '101.44', '101.65', '102.58', '2294.69086694', 188]",1571529600
126,"[1563004800, '101.56', '102.85', '99.69', '100.36', '100.86', '4936.16964229', 269]",1571529600
127,"[1563019200, '100.53', '104.14', '100.53', '102.79', '102.70', '3474.60583805', 480]",1571529600
128,"[1563033600, '102.87', '103.43', '99.90', '101.38', '101.34', '4573.92237112', 394]",1571529600
129,"[1563048000, '101.38', '102.07', '97.06', '101.19', '99.52', '6412.11457011', 529]",1571529600
130,"[1563062400, '101.12', '101.80', '100.49', '101.02', '101.14', '1690.72699413', 99]",1571529600
131,"[1563076800, '100.88', '101.15', '99.52', '100.08', '100.25', '2846.68454289', 227]",1571529600
132,"[1563091200, '100.08', '100.29', '91.40', '93.43', '95.83', '10676.83609396', 926]",1571529600
