,DASHUSD,last
151,"[1563364800, '96.079', '158.720', '95.708', '105.258', '112.445', '1804.43495289', 331]",1571529600
152,"[1563379200, '105.258', '107.529', '103.419', '103.956', '105.559', '277.39266463', 123]",1571529600
153,"[1563393600, '103.162', '105.887', '102.183', '102.381', '103.664', '504.63559549', 134]",1571529600
154,"[1563408000, '102.788', '104.504', '101.676', '102.390', '103.522', '259.07222884', 78]",1571529600
155,"[1563422400, '102.390', '105.013', '102.390', '103.003', '104.255', '111.57771296', 34]",1571529600
156,"[1563436800, '103.003', '104.165', '101.972', '104.117', '103.076', '118.36269240', 83]",1571529600
157,"[1563451200, '103.806', '109.484', '99.900', '109.477', '103.934', '855.14566636', 333]",1571529600
158,"[1563465600, '109.015', '112.039', '108.286', '109.166', '110.687', '195.22584833', 90]",1571529600
159,"[1563480000, '109.166', '111.262', '109.166', '110.747', '110.190', '183.91613058', 93]",1571529600
160,"[1563494400, '110.747', '110.747', '109.054', '109.054', '110.029', '9.54098042', 14]",1571529600
161,"[1563508800, '109.899', '109.947', '108.530', '109.944', '109.651', '60.30054860', 27]",1571529600
162,"[1563523200, '109.944', '110.720', '107.118', '108.038', '108.199', '92.56177960', 73]",1571529600
163,"[1563537600, '108.038', '112.044', '106.770', '110.707', '110.129', '488.79274215', 208]",1571529600
164,"[1563552000, '110.707', '113.134', '110.370', '112.516', '112.337', '34.73828796', 23]",1571529600
165,"[1563566400, '112.516', '113.854', '111.946', '112.791', '112.484', '93.03614267', 142]",1571529600
166,"[1563580800, '112.791', '116.598', '112.325', '116.399', '114.412', '232.13011951', 76]",1571529600
167,"[1563595200, '116.399', '117.991', '116.182', '117.771', '117.383', '55.34919814', 27]",1571529600
168,"[1563609600, '117.406', '117.406', '116.117', '116.763', '117.073', '5.02035845', 16]",1571529600
169,"[1563624000, '116.763', '118.083', '116.175', '117.200', '117.213', '197.30120204', 56]",1571529600
170,"[1563638400, '118.489', '120.677', '118.489', '120.337', '120.015', '173.24906911', 98]",1571529600
171,"[1563652800, '120.337', '120.337', '116.211', '116.480', '117.176', '85.04590331', 53]",1571529600
172,"[1563667200, '116.076', '117.929', '115.915', '116.604', '117.022', '137.68309914', 78]",1571529600
173,"[1563681600, '117.158', '118.183', '116.892', '118.183', '117.556', '21.89940652', 33]",1571529600
174,"[1563696000, '118.183', '118.488', '117.139', '117.139', '118.165', '24.73771013', 19]",1571529600
175,"[1563710400, '117.139', '117.181', '116.004', '116.665', '116.410', '45.28887773', 23]",1571529600
176,"[1563724800, '116.500', '117.179', '115.860', '117.005', '116.395', '21.19569247', 44]",1571529600
177,"[1563739200, '117.005', '119.000', '117.005', '118.088', '118.026', '147.82236753', 36]",1571529600
178,"[1563753600, '118.088', '119.000', '117.313', '118.185', '118.423', '84.49967960', 20]",1571529600
179,"[1563768000, '118.312', '118.312', '117.625', '118.121', '118.309', '35.41911936', 8]",1571529600
180,"[1563782400, '118.121', '118.875', '116.844', '116.844', '118.139', '154.12602067', 18]",1571529600
181,"[1563796800, '117.191', '117.191', '112.019', '112.400', '113.040', '151.67521500', 96]",1571529600
182,"[1563811200, '112.400', '116.422', '112.244', '112.244', '114.348', '536.22971298', 107]",1571529600
183,"[1563825600, '112.774', '114.722', '112.774', '114.117', '112.993', '348.48396744', 111]",1571529600
184,"[1563840000, '114.117', '114.313', '113.487', '113.862', '114.099', '37.82058999', 20]",1571529600
185,"[1563854400, '113.862', '113.862', '110.371', '110.371', '111.749', '176.95055137', 91]",1571529600
186,"[1563868800, '110.927', '110.927', '109.063', '110.362', '109.878', '46.65996104', 55]",1571529600
187,"[1563883200, '110.557', '110.569', '109.340', '109.832', '109.845', '81.78428336', 40]",1571529600
188,"[1563897600, '109.556', '111.696', '109.500', '111.175', '110.641', '105.83267694', 44]",1571529600
189,"[1563912000, '111.523', '112.133', '108.496', '109.213', '109.485', '224.44388624', 43]",1571529600
190,"[1563926400, '108.605', '108.605', '106.633', '106.634', '107.691', '100.80757083', 91]",1571529600
191,"[1563940800, '106.634', '108.431', '106.634', '108.239', '107.902', '130.28740669', 48]",1571529600
192,"[1563955200, '108.239', '108.733', '107.235', '107.261', '108.209', '25.18474891', 24]",1571529600
193,"[1563969600, '107.441', '110.548', '107.268', '110.548', '108.172', '73.19199224', 65]",1571529600
194,"[1563984000, '110.548', '110.548', '107.680', '108.590', '108.639', '166.80886568', 104]",1571529600
195,"[1563998400, '108.590', '109.590', '108.184', '109.532', '109.266', '165.55961654', 96]",1571529600
196,"[1564012800, '108.687', '113.344', '108.687', '113.344', '110.878', '141.07106470', 85]",1571529600
197,"[1564027200, '113.030', '113.172', '111.790', '113.122', '112.243', '75.42596048', 56]",1571529600
198,"[1564041600, '113.122', '113.593', '112.732', '113.593', '113.353', '6.03471956', 13]",1571529600
199,"[1564056000, '114.000', '115.431', '113.132', '114.719', '114.622', '224.78701975', 88]",1571529600
200,"[1564070400, '115.869', '116.325', '114.445', '114.476', '115.354', '130.07880926', 76]",1571529600
201,"[1564084800, '113.979', '115.844', '113.556', '114.390', '115.146', '127.68787794', 82]",1571529600
202,"[1564099200, '114.506', '114.522', '112.315', '112.373', '113.062', '323.71668433', 146]",1571529600
203,"[1564113600, '112.713', '112.714', '111.994', '112.262', '112.311', '1.50171289', 8]",1571529600
204,"[1564128000, '112.262', '113.556', '111.744', '113.389', '112.145', '177.20130014', 41]",1571529600
205,"[1564142400, '113.389', '114.096', '112.909', '113.325', '113.474', '39.95341458', 18]",1571529600
206,"[1564156800, '113.684', '115.323', '113.318', '115.323', '114.654', '398.69787738', 79]",1571529600
207,"[1564171200, '115.323', '115.323', '114.598', '115.228', '115.086', '52.41195916', 29]",1571529600
208,"[1564185600, '115.228', '117.494', '115.126', '116.246', '116.264', '69.63648395', 62]",1571529600
209,"[1564200000, '116.385', '116.387', '116.020', '116.020', '116.113', '47.79752421', 13]",1571529600
210,"[1564214400, '116.020', '116.020', '109.261', '109.261', '111.925', '363.94560581', 161]",1571529600
211,"[1564228800, '109.261', '110.331', '108.032', '110.331', '109.004', '74.94656650', 57]",1571529600
212,"[1564243200, '109.672', '110.414', '109.672', '110.027', '109.948', '15.35729700', 17]",1571529600
213,"[1564257600, '110.027', '111.028', '109.585', '110.908', '110.485', '164.21837938', 53]",1571529600
214,"[1564272000, '109.947', '110.662', '109.595', '110.540', '110.307', '27.57179707', 16]",1571529600
